"BusinessName","Telephone","Email","EmailHost","WebsiteURL","Linkedin","FacebookProfile","FacebookMessenger","Instagram","Twitter","Google_Rank","DomainRegistered","DomainExpiry","DomainNameserver","DomainRegistrar","Instagram_Followers","Instagram_Follows","Instagram_TotalPhotos","Instagram_Average_Likes","Instagram_Average_Comments","Instagram_Is_verified","Instagram_HighlightReel_Count","Instagram_Is_BizAccount","Instagram_AccountName","YelpAds","FBMessenger_Ads","FacebookAds","Instagram_Ads","Adwords_Ads","Gmaps_URL","GMB_Claimed","FacebookPixel","GooglePixel","CriteoPixel","GoogleStars","GoogleCount","YelpStars","Yelpcount","FacebookStars","Facebookcount","MainCategory","Address","City","State","ZIP","MobileFriendly","GoogleAnalytics","SchemaMarkup","UseWordpress","UseShopify","LinkedinAnalytics"
"G&L Surgical Clinic","6562551234","lisa@glsurgical.com.sg","Pro Plan Only","https://www.glsurgical.com.sg/","https://www.linkedin.com/company/g-l-surgical-pte-ltd","","","https://instagram.com/glsurgical/","https://www.twitter.com/glsurgical_sg","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/glsurgical","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","38 Irrawaddy Road","Singapore","Singapore","329563","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"UNIHEALTH 24-HR CLINIC (JURONG EAST)","6569705868","alan@mistermobile.com.sg","Pro Plan Only","https://www.mistermobile.com.sg/","https://www.linkedin.com/company/mister-mobile","","","https://instagram.com/mistermobilesg/","https://www.twitter.com/mistermobilesg","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/mistermobilehg","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","135 Jurong Gateway Road","Singapore","Singapore","600135","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"i.Dental Invisalign Dedicated Clinic","6563232813","julientan@gmail.com","Pro Plan Only","https://idental.com.sg/dental-clinics-in-tanjong-pagar/","https://www.linkedin.com/company/i-dental-surgeons","","","https://instagram.com/identalsg/","https://www.twitter.com/identalsg","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/idental-invisalign-clinic","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","168 Robinson Road, #01-04 Capital Tower","Singapore","Singapore","068912","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Dr Tyng Tan Aesthetics and Hair Clinic","6562350010","enquiry@aestheticsandhairclinic.com","Pro Plan Only","https://aestheticsandhairclinic.com/","https://www.linkedin.com/company/dr-tyng-tan-aesthetics-and-hair-clinic","","","https://instagram.com/drtyngtan/","https://www.twitter.com/drtyngtan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/aestheticsandhairclinic","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","391B Orchard Road","Museum","Central Region, Singapore","238874","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"ScolioLife-Scoliosis&Spine Correction Clinic","66352550","clinic.sg@scoliolife.com","Pro Plan Only","https://scoliolife.com/en_sg","https://www.linkedin.com/in/drkevinlau","","","https://instagram.com/drkevinlau/","https://www.twitter.com/scoliolife","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/ScolioLife-Scoliosis%26Spine+Correction+Clinic/@1.3035054206848,103.83469390869,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xCFA5A744A9975033!8m2!3d1.3035054206848!4d103.83469390869","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","302 Orchard Road Singapore 238862","Singapore","Singapore","238862","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"EyeWise Vision Clinic PTE. LTD.","6564761211","enquiry@eyewisevision.com.sg","Pro Plan Only","https://eyewisevision.com.sg/","https://www.linkedin.com/company/eyewise-vision-clinic","","","https://instagram.com/nusmedicine/","https://www.twitter.com/nusmedicine","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/EyeWise+Vision+Clinic+PTE.+LTD./@1.3067147731781,103.8197479248,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xD9DBCB9416409E9D!8m2!3d1.3067147731781!4d103.8197479248","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","6 Napier Road","Singapore","Singapore","25","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"S M Chua Clinic&Surgery for Women","6563343176","careteam+sg@getdoc.com","Pro Plan Only","https://www.getdoc.com/clinic/s-m-chua-clinic-surgery-for-women-1081","https://www.linkedin.com/company/getdoc","","","https://instagram.com/getdoc/","https://www.twitter.com/getdoc","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/S+M+Chua+Clinic%26Surgery+for+Women/@1.2981338500977,103.84381103516,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x80E318BFD32F7D34!8m2!3d1.2981338500977!4d103.84381103516","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","190 Clemenceau Ave #03-29 Singapore Shopping Centre","Singapore","Singapore","239924","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"The Aesthetics Centre","6568203308","enquiry@theaestheticscentre.com","Pro Plan Only","http://theaestheticscentre.com","https://www.linkedin.com/company/13406692","","","https://instagram.com/theaestheticscentre/","https://www.twitter.com/drsoosay","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/theaestheticscentre","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","1 Kim Seng Promenade, #01-137","Singapore","SG","237994","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Raffles Medical Hospital","6563111111","rafflesipc@raffleshospital.com","Pro Plan Only","http://rafflesmedicalgroup.com.sg/","https://www.linkedin.com/company/raffles-medical-group","","","https://instagram.com/rafflesmedgrp/","https://www.twitter.com/rafflesmedgrp","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/raffles-specialist-centre","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","585 North Bridge Road","Singapore","SG","188770","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Singapore Paincare Center","6562356697","drp_thomson@sgpaincareholdings.com","Pro Plan Only","http://paincarecenter.com.sg","https://www.linkedin.com/company/sgpaincare","","","https://instagram.com/sgpaincare/","https://www.twitter.com/firstcom","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/sgpaincare-novena","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","290 Orchard Rd, #18-03, Paragon Medical Centre","Singapore","SG","238859","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"East Coast Podiatry Orchard","6568844123","services@ecpc.sg","Pro Plan Only","https://www.eastcoastpodiatry.sg","https://www.linkedin.com/company/east-coast-podiatry-centre","","","https://instagram.com/eastcoastpodiatry.sg/","https://www.twitter.com/podiatrysg","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/east-coast-podiatry-kembangan","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","302 Orchard Rd, #09-02, Tong Building","Singapore","SG","238862","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Total Health Chiropractic Tanjong Pagar","6598209693","cbd@totalhealthchiropractic.com.sg","Pro Plan Only","https://www.totalhealthchiropractic.com.sg","https://www.linkedin.com/company/total-health-chiropractic---singapore","","","https://instagram.com/totalhealthchiroasia/","https://www.twitter.com/totalhealth_sg","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/TotalHealthChiropracticToaPayoh","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","168 Robinson Road, #09-08, Core Collective","Singapore","SG","068912","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
